,,,,,,,,,,,,,,Performance,,,,,,,Standard,,,,,,,,
Rk,Player,Gls,Sh,Date,Age,Nation,Team,,Opp,Comp,Result,Start,Min,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Pos.,HOME/AWAY
451,Adam Wharton,0,1,9/16/2023,19-106,eng ENG,Blackburn,,Middlesbrough,eng Championship,W 2-1,Y,89,0,0,0,0,0,0,0,1,0.00,0.00,1,100.0,27.5,0,MF,HOME
452,Adam Wharton,0,3,11/10/2023,19-161,eng ENG,Blackburn,,Preston,eng Championship,L 1-2,Y,90,0,0,0,0,0,0,0,3,0.00,,0,0.0,19.0,0,MF,HOME
453,Adam Wharton,0,0,12/9/2023,19-190,eng ENG,Blackburn,,Leeds United,eng Championship,L 0-2,Y,79,0,0,0,0,0,0,0,0,,,0,,,0,MF,HOME
454,Adam Wharton,0,1,10/28/2023,19-148,eng ENG,Blackburn,,Swansea City,eng Championship,L 0-1,N,31,0,0,0,0,0,0,0,1,0.00,,0,0.0,19.2,0,MF,HOME
455,Adam Wharton,0,0,1/1/2023,18-213,eng ENG,Blackburn,,Cardiff City,eng Championship,W 1-0,N,3,0,0,0,0,0,0,0,0,,,0,,,0,MF,HOME
456,Adam Wharton,0,0,9/3/2022,18-093,eng ENG,Blackburn,,Bristol City,eng Championship,L 2-3,Y,68,0,0,0,0,0,0,0,0,,,0,,,0,MF,HOME
457,Adam Wharton,0,0,11/29/2023,19-180,eng ENG,Blackburn,,Birmingham City,eng Championship,W 4-2,Y,90,0,1,1,0,0,0,0,0,,,0,,,0,MF,HOME
458,Adam Wharton,0,1,4/15/2023,18-317,eng ENG,Blackburn,,Hull City,eng Championship,D 0-0,N,7,0,0,0,0,0,0,0,1,0.00,,0,0.0,25.9,0,MF,HOME
459,Adam Wharton,0,0,8/19/2023,19-078,eng ENG,Blackburn,,Hull City,eng Championship,L 1-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,MF,HOME
460,Tayo Edun,0,0,8/14/2022,24-092,eng ENG,Blackburn,,West Brom,eng Championship,W 2-1,N,20,0,0,0,0,0,0,0,0,,,0,,,0,"DF,MF",HOME
461,Tayo Edun,0,1,1/24/2022,23-255,eng ENG,Blackburn,,Middlesbrough,eng Championship,W 1-0,Y,90,0,0,0,0,0,0,0,1,0.00,,0,0.0,35.1,0,"DF,MF",HOME
462,Tayo Edun,0,0,9/25/2021,23-134,eng ENG,Blackburn,,Cardiff City,eng Championship,W 5-1,N,8,0,0,0,0,0,0,0,0,,,0,,,0,"DF,MF",HOME
463,Tayo Edun,0,0,12/4/2021,23-204,eng ENG,Blackburn,,Preston,eng Championship,W 1-0,N,6,0,0,0,0,0,0,0,0,,,0,,,0,"DF,MF",HOME
464,Tayo Edun,0,0,8/27/2022,24-105,eng ENG,Blackburn,,Stoke City,eng Championship,L 0-1,N,2,0,0,0,0,0,0,0,0,,,0,,,0,"DF,MF",HOME
465,Tayo Edun,0,0,10/23/2021,23-162,eng ENG,Blackburn,,Reading,eng Championship,W 2-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,"DF,MF",HOME
466,Tayo Edun,0,0,11/3/2021,23-173,eng ENG,Blackburn,,Fulham,eng Championship,L 0-7,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,"DF,MF",HOME
467,Tayo Edun,0,0,1/1/2023,24-232,eng ENG,Blackburn,,Cardiff City,eng Championship,W 1-0,N,13,0,0,0,0,0,0,0,0,,,0,,,0,"DF,MF",HOME
468,Tayo Edun,0,0,1/2/2022,23-233,eng ENG,Blackburn,,Huddersfield,eng Championship,D 0-0,N,24,0,0,0,0,0,0,0,0,,,0,,,0,"DF,MF",HOME
469,Tayo Edun,0,0,9/3/2022,24-112,eng ENG,Blackburn,,Bristol City,eng Championship,L 2-3,N,22,0,1,1,0,0,0,0,0,,,0,,,0,"DF,MF",HOME
470,Tayo Edun,0,0,10/16/2021,23-155,eng ENG,Blackburn,,Coventry City,eng Championship,D 2-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,"DF,MF",HOME
471,Tayo Edun,0,0,12/29/2021,23-229,eng ENG,Blackburn,,Barnsley,eng Championship,W 2-1,N,6,0,0,0,0,0,0,0,0,,,0,,,0,"DF,MF",HOME
472,Tayo Edun,0,0,11/6/2021,23-176,eng ENG,Blackburn,,Sheffield Utd,eng Championship,W 3-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,"DF,MF",HOME
473,Ashley Phillips,0,0,8/14/2022,17-019,wls WAL,Blackburn,,West Brom,eng Championship,W 2-1,Y,70,0,0,0,0,0,0,0,0,,,0,,,0,DF,HOME
474,Ashley Phillips,0,1,8/27/2022,17-032,wls WAL,Blackburn,,Stoke City,eng Championship,L 0-1,Y,78,0,0,0,0,0,0,0,1,0.00,,0,0.0,13.6,0,DF,HOME
475,Ashley Phillips,0,0,10/22/2022,17-088,wls WAL,Blackburn,,Birmingham City,eng Championship,W 2-1,N,26,0,0,0,0,0,0,0,0,,,0,,,0,DF,HOME
476,Dilan Markanday,0,2,9/20/2023,22-031,eng ENG,Blackburn,,Sunderland,eng Championship,L 1-3,N,33,0,0,0,0,0,0,0,2,0.00,,0,0.0,13.1,0,"FW,MF",HOME
477,Dilan Markanday,0,0,4/21/2024,22-245,eng ENG,Blackburn,,Sheffield Weds,eng Championship,L 1-3,N,16,0,0,0,0,0,0,0,0,,,0,,,0,"FW,MF",HOME
478,Dilan Markanday,0,3,10/1/2023,22-042,eng ENG,Blackburn,,Leicester City,eng Championship,L 1-4,Y,82,0,0,0,0,0,0,0,3,0.00,0.00,1,33.3,22.7,0,"FW,MF",HOME
479,Dilan Markanday,0,0,2/3/2024,22-167,eng ENG,Blackburn,,QPR,eng Championship,L 1-2,N,24,0,0,0,0,0,0,0,0,,,0,,,0,"FW,MF",HOME
480,Dilan Markanday,0,1,4/6/2024,22-230,eng ENG,Blackburn,,Southampton,eng Championship,D 0-0,N,64,0,0,0,0,0,0,0,1,0.00,,0,0.0,15.1,0,"FW,MF",HOME
481,Dilan Markanday,0,1,10/28/2023,22-069,eng ENG,Blackburn,,Swansea City,eng Championship,L 0-1,N,45,0,0,0,0,0,0,0,1,0.00,,0,0.0,22.3,0,"FW,MF",HOME
482,Dilan Markanday,0,0,12/23/2023,22-125,eng ENG,Blackburn,,Watford,eng Championship,L 1-2,N,1,0,0,0,0,0,0,0,0,,,0,,,0,"FW,MF",HOME
483,Dilan Markanday,0,0,3/5/2024,22-198,eng ENG,Blackburn,,Millwall,eng Championship,D 1-1,N,7,0,0,0,0,0,0,0,0,,,0,,,0,"FW,MF",HOME
484,Dilan Markanday,0,0,1/1/2024,22-134,eng ENG,Blackburn,,Rotherham Utd,eng Championship,D 2-2,N,27,0,0,0,0,0,0,0,0,,,0,,,0,"FW,MF",HOME
485,Dilan Markanday,0,1,11/10/2023,22-082,eng ENG,Blackburn,,Preston,eng Championship,L 1-2,N,14,0,0,0,0,0,0,0,1,0.00,,0,0.0,14.2,0,"FW,MF",HOME
486,Dilan Markanday,0,0,12/9/2023,22-111,eng ENG,Blackburn,,Leeds United,eng Championship,L 0-2,N,7,0,0,0,0,0,0,0,0,,,0,,,0,"FW,MF",HOME
487,Jan Paul van Hecke,0,2,4/18/2022,21-314,nl NED,Blackburn,,Stoke City,eng Championship,L 0-1,Y,45,0,0,0,0,0,0,0,2,0.00,,0,0.0,11.1,0,DF,HOME
488,Jan Paul van Hecke,0,0,1/24/2022,21-230,nl NED,Blackburn,,Middlesbrough,eng Championship,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,DF,HOME
489,Jan Paul van Hecke,0,1,10/23/2021,21-137,nl NED,Blackburn,,Reading,eng Championship,W 2-0,N,52,0,0,0,0,0,0,0,1,0.00,,0,0.0,9.2,0,DF,HOME
490,Jan Paul van Hecke,0,1,3/15/2022,21-280,nl NED,Blackburn,,Derby County,eng Championship,W 3-1,Y,90,0,0,0,0,0,0,0,1,0.00,,0,0.0,32.4,0,DF,HOME
491,Jan Paul van Hecke,0,0,2/26/2022,21-263,nl NED,Blackburn,,QPR,eng Championship,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,DF,HOME
492,Jan Paul van Hecke,0,0,12/4/2021,21-179,nl NED,Blackburn,,Preston,eng Championship,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,DF,HOME
493,Jan Paul van Hecke,0,0,4/9/2022,21-305,nl NED,Blackburn,,Blackpool,eng Championship,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,DF,HOME
494,Jan Paul van Hecke,0,1,3/8/2022,21-273,nl NED,Blackburn,,Millwall,eng Championship,D 0-0,Y,90,0,0,0,0,0,0,0,1,0.00,,0,0.0,16.0,0,DF,HOME
495,Jan Paul van Hecke,0,0,11/3/2021,21-148,nl NED,Blackburn,,Fulham,eng Championship,L 0-7,Y,29,0,0,0,0,0,0,0,0,,,0,,,0,DF,HOME
496,Jan Paul van Hecke,0,1,12/18/2021,21-193,nl NED,Blackburn,,Birmingham City,eng Championship,W 4-0,Y,90,0,0,0,0,0,0,0,1,0.00,,0,0.0,9.6,0,DF,HOME
497,Jan Paul van Hecke,0,0,3/12/2022,21-277,nl NED,Blackburn,,Bristol City,eng Championship,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,DF,HOME
498,Jan Paul van Hecke,0,1,4/30/2022,21-326,nl NED,Blackburn,,Bournemouth,eng Championship,L 0-3,Y,90,0,0,0,0,0,0,0,1,0.00,,0,0.0,25.8,0,DF,HOME
499,Jan Paul van Hecke,0,1,1/2/2022,21-208,nl NED,Blackburn,,Huddersfield,eng Championship,D 0-0,Y,90,0,0,0,0,0,0,0,1,0.00,,0,0.0,8.8,0,DF,HOME
500,Jan Paul van Hecke,0,0,10/16/2021,21-130,nl NED,Blackburn,,Coventry City,eng Championship,D 2-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,DF,HOME
501,Jan Paul van Hecke,0,0,12/29/2021,21-204,nl NED,Blackburn,,Barnsley,eng Championship,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,DF,HOME
502,Jan Paul van Hecke,0,0,2/9/2022,21-246,nl NED,Blackburn,,Nott'ham Forest,eng Championship,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,DF,HOME
503,Sondre Tronstad,0,2,2/10/2024,28-168,no NOR,Blackburn,,Stoke City,eng Championship,W 3-1,Y,90,0,0,0,0,0,0,0,2,0.00,0.00,2,100.0,27.7,0,MF,HOME
504,Sondre Tronstad,0,0,10/19/2024,29-054,no NOR,Blackburn,,Swansea City,eng Championship,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,MF,HOME
505,Sondre Tronstad,0,0,8/9/2024,28-349,no NOR,Blackburn,,Derby County,eng Championship,W 4-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,MF,HOME
506,Sondre Tronstad,0,1,1/20/2024,28-147,no NOR,Blackburn,,Huddersfield,eng Championship,D 1-1,Y,90,0,0,0,0,0,0,0,1,0.00,,0,0.0,23.2,0,MF,HOME
507,Sondre Tronstad,0,1,1/4/2025,29-131,no NOR,Blackburn,,Burnley,eng Championship,L 0-1,Y,85,0,0,0,0,0,0,0,1,0.00,,0,0.0,25.5,0,MF,HOME
508,Sondre Tronstad,0,1,12/14/2024,29-110,no NOR,Blackburn,,Luton Town,eng Championship,W 2-0,Y,90,0,0,0,0,0,0,0,1,0.00,,0,0.0,19.2,0,MF,HOME
509,Sondre Tronstad,0,1,10/28/2023,28-063,no NOR,Blackburn,,Swansea City,eng Championship,L 0-1,Y,90,0,0,0,0,0,0,0,1,0.00,,0,0.0,28.2,0,MF,HOME
510,Sondre Tronstad,0,1,11/30/2024,29-096,no NOR,Blackburn,,Leeds United,eng Championship,W 1-0,Y,90,0,0,0,0,0,0,0,1,0.00,,0,0.0,26.6,0,MF,HOME
511,Sondre Tronstad,0,0,4/21/2024,28-239,no NOR,Blackburn,,Sheffield Weds,eng Championship,L 1-3,Y,66,0,0,0,0,0,0,0,0,,,0,,,0,MF,HOME
512,Sondre Tronstad,0,0,10/1/2023,28-036,no NOR,Blackburn,,Leicester City,eng Championship,L 1-4,N,8,0,0,0,0,0,0,0,0,,,0,,,0,MF,HOME
513,Sondre Tronstad,0,0,3/29/2024,28-216,no NOR,Blackburn,,Ipswich Town,eng Championship,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,MF,HOME
514,Sondre Tronstad,0,1,2/3/2024,28-161,no NOR,Blackburn,,QPR,eng Championship,L 1-2,Y,90,0,0,0,0,0,0,0,1,0.00,,0,0.0,27.7,0,MF,HOME
515,Sondre Tronstad,0,1,12/26/2024,29-122,no NOR,Blackburn,,Sunderland,eng Championship,D 2-2,Y,86,0,0,0,0,0,0,0,1,0.00,,0,0.0,18.5,0,MF,HOME
516,Sondre Tronstad,0,1,2/24/2024,28-182,no NOR,Blackburn,,Norwich City,eng Championship,D 1-1,Y,90,0,0,0,0,0,0,0,1,0.00,0.00,1,100.0,25.0,0,MF,HOME
517,Sondre Tronstad,0,2,1/15/2025,29-142,no NOR,Blackburn,,Portsmouth,eng Championship,W 3-0,Y,90,0,0,0,0,0,0,0,2,0.00,,0,0.0,20.7,0,MF,HOME
518,Sondre Tronstad,0,0,12/12/2023,28-108,no NOR,Blackburn,,Bristol City,eng Championship,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,MF,HOME
519,Sondre Tronstad,0,1,12/29/2024,29-125,no NOR,Blackburn,,Hull City,eng Championship,L 0-1,Y,83,0,0,0,0,0,0,0,1,0.00,,0,0.0,22.6,0,MF,HOME
520,Sondre Tronstad,0,0,12/23/2023,28-119,no NOR,Blackburn,,Watford,eng Championship,L 1-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,MF,HOME
521,Sondre Tronstad,0,0,4/6/2024,28-224,no NOR,Blackburn,,Southampton,eng Championship,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,MF,HOME
522,Sondre Tronstad,0,0,4/27/2024,28-245,no NOR,Blackburn,,Coventry City,eng Championship,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,MF,HOME
523,Sondre Tronstad,0,1,9/28/2024,29-033,no NOR,Blackburn,,QPR,eng Championship,W 2-0,Y,90,0,0,0,0,0,0,0,1,0.00,,0,0.0,29.9,0,MF,HOME
524,Sondre Tronstad,0,0,8/5/2023,27-344,no NOR,Blackburn,,West Brom,eng Championship,W 2-1,Y,58,0,0,0,0,0,0,0,0,,,0,,,0,MF,HOME
525,Sondre Tronstad,0,0,11/2/2024,29-068,no NOR,Blackburn,,Sheffield Utd,eng Championship,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,MF,HOME
526,Sondre Tronstad,0,0,1/1/2024,28-128,no NOR,Blackburn,,Rotherham Utd,eng Championship,D 2-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,MF,HOME
527,Sondre Tronstad,0,1,8/24/2024,28-364,no NOR,Blackburn,,Oxford United,eng Championship,W 2-1,Y,90,0,0,0,0,0,0,0,1,0.00,,0,0.0,14.6,0,MF,HOME
528,Sondre Tronstad,0,1,11/10/2023,28-076,no NOR,Blackburn,,Preston,eng Championship,L 1-2,Y,90,0,0,0,0,0,0,0,1,0.00,,0,0.0,32.4,0,MF,HOME
529,Sondre Tronstad,0,0,11/29/2023,28-095,no NOR,Blackburn,,Birmingham City,eng Championship,W 4-2,Y,90,0,1,1,0,0,0,0,0,,,0,,,0,MF,HOME
530,Sondre Tronstad,0,0,10/21/2023,28-056,no NOR,Blackburn,,Cardiff City,eng Championship,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,MF,HOME
531,Sondre Tronstad,0,1,11/6/2024,29-072,no NOR,Blackburn,,Stoke City,eng Championship,L 0-2,Y,90,0,0,0,0,0,0,0,1,0.00,,0,0.0,26.8,0,MF,HOME
532,Sondre Tronstad,0,0,9/14/2024,29-019,no NOR,Blackburn,,Bristol City,eng Championship,W 3-0,Y,89,0,0,0,0,0,0,0,0,,,0,,,0,MF,HOME
533,Sondre Tronstad,0,0,12/9/2023,28-105,no NOR,Blackburn,,Leeds United,eng Championship,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,MF,HOME
534,Sondre Tronstad,0,0,10/23/2024,29-058,no NOR,Blackburn,,West Brom,eng Championship,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,MF,HOME
535,Bradley Dack,0,1,8/14/2022,28-226,eng ENG,Blackburn,,West Brom,eng Championship,W 2-1,N,17,0,0,0,0,0,0,0,1,0.00,,0,0.0,19.4,0,"MF,FW",HOME
536,Bradley Dack,0,0,3/15/2022,28-074,eng ENG,Blackburn,,Derby County,eng Championship,W 3-1,N,45,0,1,1,0,0,0,0,0,,,0,,,0,"MF,FW",HOME
537,Bradley Dack,0,0,4/25/2023,29-115,eng ENG,Blackburn,,Burnley,eng Championship,L 0-1,N,16,0,0,0,0,0,0,0,0,,,0,,,0,"MF,FW",HOME
538,Bradley Dack,0,1,5/1/2023,29-121,eng ENG,Blackburn,,Luton Town,eng Championship,D 1-1,N,37,0,0,0,0,0,0,0,1,0.00,,0,0.0,15.5,0,"MF,FW",HOME
539,Bradley Dack,0,1,2/6/2023,29-037,eng ENG,Blackburn,,Wigan Athletic,eng Championship,D 0-0,Y,79,0,0,0,0,0,0,0,1,0.00,,0,0.0,24.7,0,"MF,FW",HOME
540,Bradley Dack,0,3,8/27/2022,28-239,eng ENG,Blackburn,,Stoke City,eng Championship,L 0-1,Y,90,0,0,0,0,0,0,0,3,0.00,0.00,1,33.3,15.2,0,"MF,FW",HOME
541,Bradley Dack,0,0,4/9/2022,28-099,eng ENG,Blackburn,,Blackpool,eng Championship,D 1-1,N,29,0,0,0,0,0,0,0,0,,,0,,,0,"MF,FW",HOME
542,Bradley Dack,0,0,10/8/2022,28-281,eng ENG,Blackburn,,Rotherham Utd,eng Championship,W 3-0,N,4,0,0,0,0,0,0,0,0,,,0,,,0,"MF,FW",HOME
543,Bradley Dack,0,1,3/12/2022,28-071,eng ENG,Blackburn,,Bristol City,eng Championship,L 0-1,N,21,0,0,0,0,0,1,1,1,0.00,,0,0.0,22.1,0,"MF,FW",HOME
544,Bradley Dack,0,1,4/30/2022,28-120,eng ENG,Blackburn,,Bournemouth,eng Championship,L 0-3,N,23,0,0,0,0,0,0,0,1,0.00,,0,0.0,7.8,0,"MF,FW",HOME
545,Bradley Dack,0,0,10/1/2022,28-274,eng ENG,Blackburn,,Millwall,eng Championship,W 2-1,N,1,0,0,0,0,0,0,0,0,,,0,,,0,"MF,FW",HOME
546,Bradley Dack,0,2,9/3/2022,28-246,eng ENG,Blackburn,,Bristol City,eng Championship,L 2-3,Y,45,0,0,0,0,0,0,0,2,0.00,0.00,1,50.0,22.1,0,"MF,FW",HOME
547,Bradley Dack,0,0,2/18/2023,29-049,eng ENG,Blackburn,,Swansea City,eng Championship,W 1-0,N,13,0,0,0,0,0,0,0,0,,,0,,,0,"MF,FW",HOME
548,Bradley Dack,0,1,12/29/2022,28-363,eng ENG,Blackburn,,Middlesbrough,eng Championship,L 1-2,Y,65,0,0,0,0,0,0,0,1,0.00,0.00,1,100.0,11.0,0,"MF,FW",HOME
549,Daniel Butterworth,0,3,11/24/2021,22-071,eng ENG,Blackburn,,P'borough Utd,eng Championship,W 4-0,N,23,0,0,0,0,0,0,0,3,0.00,0.00,1,33.3,26.6,0,"FW,MF",HOME
550,Daniel Butterworth,0,0,1/24/2022,22-132,eng ENG,Blackburn,,Middlesbrough,eng Championship,W 1-0,N,14,0,0,0,0,0,0,0,0,,,0,,,0,"FW,MF",HOME
551,Daniel Butterworth,0,1,8/7/2021,21-327,eng ENG,Blackburn,,Swansea City,eng Championship,W 2-1,N,10,0,0,0,0,0,0,0,1,0.00,0.00,1,100.0,10.7,0,"FW,MF",HOME
552,Daniel Butterworth,0,0,11/3/2021,22-050,eng ENG,Blackburn,,Fulham,eng Championship,L 0-7,N,28,0,0,0,0,0,0,0,0,,,0,,,0,"FW,MF",HOME
553,Daniel Butterworth,0,1,12/18/2021,22-095,eng ENG,Blackburn,,Birmingham City,eng Championship,W 4-0,N,21,0,0,0,0,0,0,0,1,0.00,,0,0.0,29.1,0,"FW,MF",HOME
554,Daniel Butterworth,0,0,11/6/2021,22-053,eng ENG,Blackburn,,Sheffield Utd,eng Championship,W 3-1,N,1,0,0,0,0,0,0,0,0,,,0,,,0,"FW,MF",HOME
555,Daniel Butterworth,0,3,9/14/2021,22-000,eng ENG,Blackburn,,Hull City,eng Championship,W 2-0,N,37,0,0,0,0,0,0,0,3,0.00,0.00,1,33.3,18.8,0,"FW,MF",HOME
556,Ian Poveda,0,1,10/23/2021,21-256,eng ENG,Blackburn,,Reading,eng Championship,W 2-0,N,30,0,0,0,0,0,0,0,1,0.00,,0,0.0,10.3,0,"FW,MF",HOME
557,Ian Poveda,0,0,4/30/2022,22-080,eng ENG,Blackburn,,Bournemouth,eng Championship,L 0-3,N,31,0,0,0,0,0,0,0,0,,,0,,,0,"FW,MF",HOME
558,Ian Poveda,0,1,10/16/2021,21-249,eng ENG,Blackburn,,Coventry City,eng Championship,D 2-2,N,25,0,0,0,0,0,0,0,1,0.00,,0,0.0,29.2,0,"FW,MF",HOME
559,Ben Brereton,0,2,4/18/2022,23-000,cl CHI,Blackburn,,Stoke City,eng Championship,L 0-1,Y,90,0,0,0,0,0,0,0,2,0.00,0.00,1,50.0,11.1,0,FW,HOME
560,Ben Brereton,0,0,10/23/2021,22-188,cl CHI,Blackburn,,Reading,eng Championship,W 2-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,FW,HOME
561,Ben Brereton,0,6,9/13/2022,23-148,cl CHI,Blackburn,,Watford,eng Championship,W 2-0,Y,89,0,0,0,0,0,0,0,6,0.00,0.00,2,33.3,17.4,0,"FW,MF",HOME
562,Ben Brereton,0,0,3/4/2023,23-320,cl CHI,Blackburn,,Sheffield Utd,eng Championship,W 1-0,N,9,0,0,0,0,0,0,0,0,,,0,,,0,"FW,MF",HOME
563,Ben Brereton,0,0,4/19/2023,24-001,cl CHI,Blackburn,,Coventry City,eng Championship,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,"FW,MF",HOME
564,Ben Brereton,0,1,4/25/2023,24-007,cl CHI,Blackburn,,Burnley,eng Championship,L 0-1,Y,90,0,0,0,0,0,0,0,1,0.00,,0,0.0,25.9,0,"FW,MF",HOME
565,Ben Brereton,0,0,12/10/2022,23-236,cl CHI,Blackburn,,Preston,eng Championship,L 1-4,Y,57,0,1,1,0,0,0,0,0,,,0,,,0,"FW,MF",HOME
566,Ben Brereton,0,5,8/27/2022,23-131,cl CHI,Blackburn,,Stoke City,eng Championship,L 0-1,Y,90,0,0,0,0,0,0,0,5,0.00,,0,0.0,20.9,1,"FW,MF",HOME
567,Ben Brereton,0,5,9/11/2021,22-146,cl CHI,Blackburn,,Luton Town,eng Championship,D 2-2,Y,90,0,1,1,0,0,0,0,5,0.00,0.00,1,20.0,15.2,0,FW,HOME
568,Ben Brereton,0,0,5/1/2023,24-013,cl CHI,Blackburn,,Luton Town,eng Championship,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,"FW,MF",HOME
569,Ben Brereton,0,4,4/7/2023,23-354,cl CHI,Blackburn,,Norwich City,eng Championship,L 0-2,Y,90,0,0,0,0,0,0,0,4,0.00,0.00,1,25.0,17.4,0,"FW,MF",HOME
570,Ben Brereton,0,1,10/22/2022,23-187,cl CHI,Blackburn,,Birmingham City,eng Championship,W 2-1,Y,84,0,0,0,0,0,0,0,1,0.00,,0,0.0,15.5,0,"FW,MF",HOME
571,Ben Brereton,0,5,4/9/2022,22-356,cl CHI,Blackburn,,Blackpool,eng Championship,D 1-1,Y,90,0,0,0,0,0,0,0,5,0.00,,0,0.0,13.5,0,FW,HOME
572,Ben Brereton,0,2,11/3/2021,22-199,cl CHI,Blackburn,,Fulham,eng Championship,L 0-7,Y,90,0,0,0,0,0,0,0,2,0.00,0.00,1,50.0,12.7,0,FW,HOME
573,Ben Brereton,0,5,7/30/2022,23-103,cl CHI,Blackburn,,QPR,eng Championship,W 1-0,Y,90,0,0,0,0,0,0,0,5,0.00,0.00,3,60.0,21.9,0,"FW,MF",HOME
574,Ben Brereton,0,3,1/1/2023,23-258,cl CHI,Blackburn,,Cardiff City,eng Championship,W 1-0,Y,90,0,1,1,0,0,0,0,3,0.00,0.00,2,66.7,20.4,0,"FW,MF",HOME
575,Ben Brereton,0,3,4/30/2022,23-012,cl CHI,Blackburn,,Bournemouth,eng Championship,L 0-3,Y,90,0,0,0,0,0,0,0,3,0.00,0.00,2,66.7,11.1,0,FW,HOME
576,Ben Brereton,0,0,1/2/2022,22-259,cl CHI,Blackburn,,Huddersfield,eng Championship,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,FW,HOME
577,Ben Brereton,0,1,2/6/2023,23-294,cl CHI,Blackburn,,Wigan Athletic,eng Championship,D 0-0,Y,90,0,0,0,0,0,0,0,1,0.00,0.00,1,100.0,12.1,0,"FW,MF",HOME
578,Ben Brereton,0,4,12/29/2022,23-255,cl CHI,Blackburn,,Middlesbrough,eng Championship,L 1-2,Y,90,0,0,0,0,0,0,0,4,0.00,0.00,1,25.0,23.4,1,"FW,MF",HOME
579,Ben Brereton,0,0,10/16/2021,22-181,cl CHI,Blackburn,,Coventry City,eng Championship,D 2-2,N,18,0,0,0,0,0,0,0,0,,,0,,,0,FW,HOME
580,Ben Brereton,0,3,2/18/2023,23-306,cl CHI,Blackburn,,Swansea City,eng Championship,W 1-0,Y,77,0,0,0,0,0,0,0,3,0.00,0.00,1,33.3,15.6,0,"FW,MF",HOME
581,Ben Brereton,0,3,4/15/2023,23-362,cl CHI,Blackburn,,Hull City,eng Championship,D 0-0,Y,71,0,0,0,0,0,0,0,3,0.00,0.00,1,33.3,21.2,0,"FW,MF",HOME
582,Ben Brereton,0,5,2/9/2022,22-297,cl CHI,Blackburn,,Nott'ham Forest,eng Championship,L 0-2,Y,90,0,0,0,0,0,0,0,5,0.00,0.00,3,60.0,16.3,0,FW,HOME
583,Deyovaisio Zeefuik,0,0,2/26/2022,23-352,nl NED,Blackburn,,QPR,eng Championship,W 1-0,N,33,0,0,0,0,0,0,0,0,,,0,,,0,"DF,MF",HOME
584,Deyovaisio Zeefuik,0,1,1/24/2022,23-319,nl NED,Blackburn,,Middlesbrough,eng Championship,W 1-0,N,2,0,0,0,0,0,0,0,1,0.00,,0,0.0,12.9,0,"DF,MF",HOME
585,Deyovaisio Zeefuik,0,0,2/9/2022,23-335,nl NED,Blackburn,,Nott'ham Forest,eng Championship,L 0-2,Y,82,0,0,0,0,0,0,0,0,,,0,,,0,"DF,MF",HOME
586,Andreas Weimann,0,0,11/2/2024,33-089,at AUT,Blackburn,,Sheffield Utd,eng Championship,L 0-2,N,30,0,0,0,0,0,0,0,0,,,0,,,0,"FW,MF",HOME
587,Andreas Weimann,0,0,1/4/2025,33-152,at AUT,Blackburn,,Burnley,eng Championship,L 0-1,N,16,0,0,0,0,0,0,0,0,,,0,,,0,"FW,MF",HOME
588,Andreas Weimann,0,1,12/29/2024,33-146,at AUT,Blackburn,,Hull City,eng Championship,L 0-1,N,29,0,0,0,0,0,0,0,1,0.00,,0,0.0,16.5,0,"FW,MF",HOME
589,Andreas Weimann,0,0,12/26/2024,33-143,at AUT,Blackburn,,Sunderland,eng Championship,D 2-2,N,13,0,0,0,0,0,0,0,0,,,0,,,0,"FW,MF",HOME
