,,,,,,,,,,,,,,Performance,,,,,,,Standard,,,,,,,,
Rk,Player,Gls,Sh,Date,Age,Nation,Team,,Opp,Comp,Result,Start,Min,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Pos.,HOME/AWAY
29,Scott Wharton,1,2,10/18/2022,25-015,eng ENG,Blackburn,,Sunderland,eng Championship,W 2-0,Y,90,1,0,1,1,0,0,0,2,0.50,1.00,1,50.0,4.5,0,DF,HOME
30,Scott Wharton,1,2,3/15/2022,24-163,eng ENG,Blackburn,,Derby County,eng Championship,W 3-1,Y,90,1,0,1,1,0,0,0,2,0.50,0.50,2,100.0,8.5,0,DF,HOME
31,Sam Gallagher,1,5,10/23/2021,26-038,eng ENG,Blackburn,,Reading,eng Championship,W 2-0,Y,90,1,1,2,1,0,0,0,5,0.20,0.50,2,40.0,13.5,0,FW,HOME
32,Sam Gallagher,1,2,8/19/2023,27-338,eng ENG,Blackburn,,Hull City,eng Championship,L 1-2,N,39,1,0,1,1,0,0,0,2,0.50,0.50,2,100.0,12.7,0,"FW,MF",HOME
33,Sam Gallagher,1,2,10/16/2021,26-031,eng ENG,Blackburn,,Coventry City,eng Championship,D 2-2,Y,72,1,1,2,1,0,0,0,2,0.50,1.00,1,50.0,21.5,0,FW,HOME
34,Sam Gallagher,1,3,4/19/2023,27-216,eng ENG,Blackburn,,Coventry City,eng Championship,D 1-1,Y,72,1,0,1,1,0,0,0,3,0.33,0.50,2,66.7,11.1,0,FW,HOME
35,Sam Gallagher,1,3,4/9/2022,26-206,eng ENG,Blackburn,,Blackpool,eng Championship,D 1-1,Y,89,1,0,1,1,0,0,0,3,0.33,1.00,1,33.3,12.1,0,FW,HOME
36,Sam Gallagher,1,7,9/25/2021,26-010,eng ENG,Blackburn,,Cardiff City,eng Championship,W 5-1,Y,90,1,1,2,1,0,0,0,7,0.14,0.33,3,42.9,19.0,0,FW,HOME
37,Sam Gallagher,1,2,10/22/2022,27-037,eng ENG,Blackburn,,Birmingham City,eng Championship,W 2-1,Y,84,1,0,1,1,0,0,0,2,0.50,1.00,1,50.0,9.1,0,FW,HOME
38,Sam Gallagher,1,2,8/7/2021,25-326,eng ENG,Blackburn,,Swansea City,eng Championship,W 2-1,Y,72,1,0,1,1,0,0,0,2,0.50,1.00,1,50.0,16.6,0,FW,HOME
39,Sam Gallagher,1,6,1/24/2022,26-131,eng ENG,Blackburn,,Middlesbrough,eng Championship,W 1-0,Y,90,1,0,1,1,0,0,0,6,0.17,0.33,3,50.0,17.7,0,FW,HOME
40,Sam Gallagher,1,3,2/3/2024,28-141,eng ENG,Blackburn,,QPR,eng Championship,L 1-2,Y,90,1,0,1,1,0,0,0,3,0.33,0.50,2,66.7,19.8,0,"FW,MF",HOME
41,Sam Gallagher,1,1,8/14/2022,26-333,eng ENG,Blackburn,,West Brom,eng Championship,W 2-1,Y,73,1,1,2,1,0,0,0,1,1.00,1.00,1,100.0,19.6,0,FW,HOME
42,Sam Gallagher,1,2,3/15/2022,26-181,eng ENG,Blackburn,,Derby County,eng Championship,W 3-1,N,45,1,0,1,1,0,0,0,2,0.50,1.00,1,50.0,10.6,0,FW,HOME
43,Adam Wharton,1,1,10/22/2022,18-142,eng ENG,Blackburn,,Birmingham City,eng Championship,W 2-1,Y,60,1,0,1,1,0,0,0,1,1.00,1.00,1,100.0,17.8,0,MF,HOME
44,Adam Wharton,1,3,12/23/2023,19-204,eng ENG,Blackburn,,Watford,eng Championship,L 1-2,Y,90,1,0,1,1,0,0,0,3,0.33,0.50,2,66.7,15.8,0,MF,HOME
45,Adam Wharton,1,2,1/20/2024,19-232,eng ENG,Blackburn,,Huddersfield,eng Championship,D 1-1,Y,90,1,0,1,1,0,0,0,2,0.50,1.00,1,50.0,13.5,0,MF,HOME
46,Dilan Markanday,1,1,8/5/2023,21-350,eng ENG,Blackburn,,West Brom,eng Championship,W 2-1,Y,58,1,0,1,1,0,0,0,1,1.00,1.00,1,100.0,11.9,0,"FW,MF",HOME
